NO,REGION,DISTRICT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,MATURE,SEASON,P_ACRE,H_ACRE,Y_ACRE,Y_TIN
56,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Emahta,Early,Rain,1336,1329,86.23,114597
57,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Emahta,Early,Rain,52,52,82.33,4281
58,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Emahta,Early,Rain,0,0,0,0
59,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Emahta,Early,Rain,646,646,86.85,56106
60,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Emahta,Early,Rain,714,714,124.93,89202
61,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Emahta,Medium,Hot,0,0,0,0
62,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Emahta,Medium,Hot,0,0,0,0
63,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Emahta,Medium,Hot,0,0,0,0
64,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Emahta,Medium,Hot,0,0,0,0
65,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Emahta,Medium,Hot,0,0,0,0
66,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Emahta,Medium,Hot,0,0,0,0
67,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Emahta,Medium,Hot,0,0,0,0
68,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Emahta,Medium,Hot,0,0,0,0
69,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Emahta,Medium,Hot,0,0,0,0
70,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Emahta,Medium,Hot,0,0,0,0
71,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Emahta,Medium,Hot,0,0,0,0
72,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Emahta,Medium,Hot,283,0,0,0
73,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Emahta,Medium,Hot,0,0,0,0
74,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Emahta,Medium,Hot,0,0,0,0
75,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Emahta,Medium,Hot,0,0,0,0
76,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Emahta,Medium,Hot,0,0,0,0
77,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Emahta,Medium,Hot,0,0,0,0
78,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Emahta,Medium,Hot,0,0,0,0
79,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Emahta,Medium,Hot,0,0,0,0
80,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Emahta,Medium,Hot,0,0,0,0
81,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Emahta,Medium,Hot,0,0,0,0
82,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Emahta,Medium,Hot,0,0,0,0
83,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Emahta,Medium,Hot,0,0,0,0
84,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Emahta,Medium,Hot,0,0,0,0
85,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Emahta,Medium,Hot,0,0,0,0
86,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Emahta,Medium,Hot,0,0,0,0
87,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Emahta,Medium,Hot,0,0,0,0
88,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Emahta,Medium,Hot,0,0,0,0
89,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Emahta,Medium,Hot,0,0,0,0
90,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Emahta,Medium,Hot,813,0,0,0
91,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Emahta,Early,Hot,0,0,0,0
92,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Emahta,Early,Hot,0,0,0,0
93,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Emahta,Early,Hot,0,0,0,0
94,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Emahta,Early,Hot,0,0,0,0
95,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Emahta,Early,Hot,52,0,0,0
96,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Emahta,Early,Hot,6729,0,0,0
97,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Emahta,Early,Hot,15953,0,0,0
98,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Emahta,Early,Hot,0,0,0,0
99,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Emahta,Early,Hot,36312,0,0,0
100,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Emahta,Early,Hot,3712,0,0,0
101,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Emahta,Early,Hot,0,0,0,0
102,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Emahta,Early,Hot,0,0,0,0
