NO,REGION,DISCTRIT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,P_ACRE,H_ACRE,Y_PERCENT,Y_TIN
518,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2014-2015,Ngasein,0,0,0,0
519,Mandalay,Pyinoolwin,Madaya,MMR010009,2014-2015,Ngasein,10708,10708,69.58,744933
520,Mandalay,Pyinoolwin,Singu,MMR010010,2014-2015,Ngasein,9753,9753,57.08,556716
521,Mandalay,Pyinoolwin,Mogoke,MMR010011,2014-2015,Ngasein,0,0,0,0
522,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2014-2015,Ngasein,0,0,0,0
523,Mandalay,Pyinoolwin,Takaung,MMR010012702,2014-2015,Ngasein,0,0,0,0
524,Mandalay,Kyaukse,Kyaukse,MMR010013,2014-2015,Ngasein,0,0,0,0
525,Mandalay,Kyaukse,Sintgaing,MMR010014,2014-2015,Ngasein,0,0,0,0
526,Mandalay,Kyaukse,Myittha,MMR010015,2014-2015,Ngasein,0,0,0,0
527,Mandalay,Kyaukse,Tada-U,MMR010016,2014-2015,Ngasein,0,0,0,0
528,Mandalay,Meiktila,Meiktila,MMR010028,2014-2015,Ngasein,0,0,0,0
529,Mandalay,Meiktila,Mahlaing,MMR010029,2014-2015,Ngasein,0,0,0,0
530,Mandalay,Meiktila,Thazi,MMR010030,2014-2015,Ngasein,13005,13005,57.47,747417
531,Mandalay,Meiktila,Wundwin,MMR010031,2014-2015,Ngasein,17208,15844,47.12,746578
532,Mandalay,Myingyan,Myingyan,MMR010017,2014-2015,Ngasein,61,0,0,0
533,Mandalay,Myingyan,Taungtha,MMR010018,2014-2015,Ngasein,15,0,0,0
534,Mandalay,Myingyan,Natogyi,MMR010019,2014-2015,Ngasein,1820,0,0,0
535,Mandalay,Myingyan,Ngazun,MMR010021,2014-2015,Ngasein,0,0,0,0
536,Mandalay,Naung-U,Naung-U,MMR010022,2014-2015,Ngasein,0,0,0,0
537,Mandalay,Naung-U,Kyaukpadaung,MMR010020 ,2014-2015,Ngasein,0,0,0,0
538,Mandalay,Naung-U,Ngathayauk,MMR010022703,2014-2015,Ngasein,0,0,0,0
539,Mandalay,Yamethin,Yamethin,MMR010023,2014-2015,Ngasein,0,0,0,0
540,Mandalay,Yamethin,Pyawbwe,MMR010024,2014-2015,Ngasein,0,0,0,0
541,Mandalay,Mandalay,Aungmyethazan,MMR010001,2014-2015,Glutinous,0,0,0,0
542,Mandalay,Mandalay,Chanayethazan,MMR010002,2014-2015,Glutinous,0,0,0,0
543,Mandalay,Mandalay,Mahaaungmye,MMR010003,2014-2015,Glutinous,0,0,0,0
544,Mandalay,Mandalay,Chanmyathazi,MMR010004,2014-2015,Glutinous,0,0,0,0
545,Mandalay,Mandalay,Pyigidagon,MMR010005,2014-2015,Glutinous,0,0,0,0
546,Mandalay,Mandalay,Amarapura,MMR010006,2014-2015,Glutinous,0,0,0,0
547,Mandalay,Mandalay,Pathegyi,MMR010007,2014-2015,Glutinous,0,0,0,0
548,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2014-2015,Glutinous,0,0,0,0
549,Mandalay,Pyinoolwin,Madaya,MMR010009,2014-2015,Glutinous,0,0,0,0
550,Mandalay,Pyinoolwin,Singu,MMR010010,2014-2015,Glutinous,95,95,68.6,6517
551,Mandalay,Pyinoolwin,Mogoke,MMR010011,2014-2015,Glutinous,0,0,0,0
552,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2014-2015,Glutinous,0,0,0,0
553,Mandalay,Pyinoolwin,Takaung,MMR010012702,2014-2015,Glutinous,0,0,0,0
554,Mandalay,Kyaukse,Kyaukse,MMR010013,2014-2015,Glutinous,0,0,0,0
555,Mandalay,Kyaukse,Sintgaing,MMR010014,2014-2015,Glutinous,0,0,0,0
556,Mandalay,Kyaukse,Myittha,MMR010015,2014-2015,Glutinous,0,0,0,0
557,Mandalay,Kyaukse,Tada-U,MMR010016,2014-2015,Glutinous,0,0,0,0
558,Mandalay,Meiktila,Meiktila,MMR010028,2014-2015,Glutinous,0,0,0,0
559,Mandalay,Meiktila,Mahlaing,MMR010029,2014-2015,Glutinous,0,0,0,0
560,Mandalay,Meiktila,Thazi,MMR010030,2014-2015,Glutinous,0,0,0,0
561,Mandalay,Meiktila,Wundwin,MMR010031,2014-2015,Glutinous,0,0,0,0
562,Mandalay,Myingyan,Myingyan,MMR010017,2014-2015,Glutinous,0,0,0,0
563,Mandalay,Myingyan,Taungtha,MMR010018,2014-2015,Glutinous,0,0,0,0
564,Mandalay,Myingyan,Natogyi,MMR010019,2014-2015,Glutinous,0,0,0,0
565,Mandalay,Myingyan,Ngazun,MMR010021,2014-2015,Glutinous,0,0,0,0
566,Mandalay,Naung-U,Naung-U,MMR010022,2014-2015,Glutinous,0,0,0,0
567,Mandalay,Naung-U,Kyaukpadaung,MMR010020 ,2014-2015,Glutinous,0,0,0,0
568,Mandalay,Naung-U,Ngathayauk,MMR010022703,2014-2015,Glutinous,0,0,0,0
569,Mandalay,Yamethin,Yamethin,MMR010023,2014-2015,Glutinous,0,0,0,0
570,Mandalay,Yamethin,Pyawbwe,MMR010024,2014-2015,Glutinous,0,0,0,0
