ST_NAME,TS_NAME,CP_NAME,ROC2014-15,ROCP2014-15,R2014-15,ROY2014-15,ROC2015-16,ROCP2015-16,R2015-16,ROY2015-16,ROC2016-17,ROCP2016-17,R2016-17,ROY2016-17,ROC2017-18,ROCP2017-18,R2017-18,ROY2017-18,ROC2018-19,ROCP2018-19,R2018-19,ROY2018-19
Shan,Lashio,Zea Maize,47312,47312,73.22,3464386,48924,48924,73.18,3580459,51026,51026,73.24,3737186,52926,52926,72.87,3856683,61301,60915,72.52,4417576
Shan,Hseni,Zea Maize,18069,18069,70.73,1278031,19057,19057,71.06,1354283,20917,20892,70.97,1482674,22133,22133,71.36,1579329,22637,22596,71.46,1614728
Shan,Tangyan,Zea Maize,12128,12128,78.31,949745,12839,12839,78.22,1004265,12920,12920,77.86,1005951,12895,12895,78.35,1010323,12900,12900,78.35,1010715
Shan,Mongyai,Zea Maize,12585,12585,65.83,828471,15570,15570,66.85,1040855,16120,16120,66.3,1068756,16650,16650,66.35,1104728,18954,18954,66.28,1256259
Shan,Kunlong,Zea Maize,7235,7091,77.31,548208,9734,9734,77.35,752877,7769,7383,77.2,570001,6808,6702,76.99,515962,5767,5767,77.08,444543
Shan,Muse,Zea Maize,10109,10105,73.71,744861,10830,10830,73.1,791718,11169,11055,72.48,801252,10976,10976,72.77,798689,11201,11201,71.34,799067
Shan,Namhkan,Zea Maize,5526,5508,74.5,410369,5734,5734,74.21,425536,5557,5482,75.93,416248,5532,5532,78.62,434951,6362,6362,75.96,483253
Shan,Kutkai,Zea Maize,16762,16762,75.64,1267878,16563,16563,75.93,1257615,16572,16572,75.96,1258751,19026,19026,76.54,1456212,19224,19224,76.55,1471549
Shan,Kyaukme,Zea Maize,36536,36536,73.79,2695886,38086,38086,73.93,2815563,38672,38659,73.77,2851850,40454,40454,73.56,2975838,43126,43097,73.61,3172481
Shan,Hsipaw,Zea Maize,30231,30231,74.75,2259767,34121,34121,74.8,2552251,44769,44769,75.09,3361562,61475,61475,75.12,4617816,59386,59229,74.89,4435654
